,job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,posted_date,company_size,tools_preferred,salary_min_usd,salary_max_usd
35,36,Huynh PLC,Finance,Computer Vision Engineer,"PyTorch, LangChain, R",Mid,Remote,"Kirbyside, LT",2023-12-25,Startup,"Scikit-learn, FastAPI, MLflow",87250.0,156869.0
36,37,"Smith, Haas and Mendez",Retail,AI Researcher,"Excel, SQL, Python",Entry,Contract,"Lake John, AU",2024-11-16,Mid,"Scikit-learn, LangChain, KDB+",77074.0,163272.0
37,38,"Briggs, Shaw and Berry",E-commerce,ML Engineer,"SQL, Hugging Face, TensorFlow",Mid,Remote,"East Ashleyland, PL",2025-05-14,Startup,MLflow,116061.0,159814.0
38,39,Boyd PLC,Retail,Data Scientist,"PyTorch, Power BI, AWS, FastAPI",Senior,Internship,"Port Misty, NL",2024-06-10,Mid,LangChain,87411.0,136106.0
39,40,"Sanders, Mejia and Townsend",Automotive,Data Analyst,"Power BI, PyTorch, GCP, CUDA, Keras, Scikit-learn",Entry,Internship,"Deleonchester, HN",2025-06-27,Mid,"FastAPI, Scikit-learn, LangChain",88562.0,159008.0
40,41,Hernandez Inc,E-commerce,Quant Researcher,"NumPy, AWS, Excel, SQL, Keras",Senior,Remote,"Nicoleport, BF",2025-02-08,Mid,"Scikit-learn, TensorFlow, BigQuery",41935.0,95608.0
41,42,"Parrish, White and Grant",E-commerce,NLP Engineer,"R, Power BI, CUDA, MLflow",Mid,Full-time,"Kimside, BW",2023-11-10,Startup,TensorFlow,126443.0,145937.0
42,43,"Carroll, Lucero and Lambert",Healthcare,AI Product Manager,"NumPy, SQL, Python, Reinforcement Learning, LangChain",Entry,Full-time,"Simsside, TD",2024-09-05,Large,"PyTorch, TensorFlow, FastAPI",99978.0,189975.0
43,44,"Thomas, Waller and Kelly",Education,Quant Researcher,"Hugging Face, Flask, TensorFlow, Excel, SQL",Entry,Contract,"South Jeremiah, MX",2025-03-11,Large,"TensorFlow, LangChain, PyTorch",65214.0,151832.0
44,45,"Franklin, Wright and Berg",Automotive,Quant Researcher,"Hugging Face, Pandas, CUDA, LangChain, FastAPI",Mid,Internship,"Ramirezmouth, PK",2025-03-16,Mid,KDB+,71101.0,158421.0
45,46,"Coleman, Gray and Roach",Healthcare,ML Engineer,"LangChain, AWS, GCP",Entry,Internship,"New Rachelmouth, IT",2025-02-14,Startup,"FastAPI, MLflow, TensorFlow",119200.0,129563.0
46,47,Mooney-Decker,Finance,Data Scientist,"Scikit-learn, PyTorch, Flask, Azure",Mid,Contract,"Jennyland, TR",2024-08-04,Startup,"PyTorch, BigQuery",122083.0,203812.0
47,48,Wood LLC,Automotive,Computer Vision Engineer,"GCP, TensorFlow, Power BI",Entry,Contract,"Port Johnville, MA",2025-02-21,Mid,"MLflow, BigQuery, LangChain",144773.0,159408.0
48,49,Copeland Group,Education,NLP Engineer,"TensorFlow, LangChain, PyTorch, Power BI, R",Entry,Remote,"North Josephshire, YE",2024-03-19,Mid,"KDB+, PyTorch, MLflow",78317.0,161397.0
49,50,Richards PLC,Finance,NLP Engineer,"Power BI, CUDA, C++, Pandas, SQL, AWS",Mid,Full-time,"Lewismouth, TD",2024-05-07,Large,"FastAPI, KDB+, Scikit-learn",75575.0,120477.0
50,51,"Melendez, Williams and Williamson",E-commerce,AI Product Manager,"TensorFlow, Keras, PyTorch, AWS, Scikit-learn",Entry,Full-time,"Steinside, IT",2023-09-27,Large,BigQuery,133185.0,231638.0
51,52,"Ellis, Crane and Boyle",E-commerce,Computer Vision Engineer,"Azure, Keras, Scikit-learn, Hugging Face, Excel, R",Entry,Contract,"North Jason, MR",2025-05-30,Mid,"LangChain, KDB+, FastAPI",73140.0,164506.0
52,53,Foley-Moore,Finance,Data Scientist,"Keras, Pandas, Python, FastAPI, CUDA, Scikit-learn",Mid,Contract,"Thomasfort, KG",2025-05-17,Large,MLflow,69031.0,115150.0
53,54,Wright and Sons,Tech,Quant Researcher,"R, SQL, Python, PyTorch",Mid,Full-time,"Chavezstad, TG",2024-11-09,Large,"LangChain, BigQuery, MLflow",49382.0,141727.0
54,55,Williams-Vargas,Healthcare,Quant Researcher,"Keras, Excel, FastAPI, Azure, R, PyTorch",Senior,Full-time,"Carlland, ME",2024-11-10,Startup,"FastAPI, TensorFlow, BigQuery",135916.0,233596.0
55,56,Hill-Huff,Tech,ML Engineer,"Power BI, LangChain, Flask, Excel, SQL, CUDA",Senior,Remote,"Jessicamouth, PT",2025-04-23,Startup,"BigQuery, PyTorch, TensorFlow",149271.0,215582.0
56,57,Meyer PLC,Education,Data Analyst,"AWS, Excel, Azure",Entry,Internship,"Caitlynmouth, MR",2023-11-16,Mid,"LangChain, Scikit-learn, PyTorch",56348.0,123497.0
57,58,Boyd-Carlson,Retail,ML Engineer,"Excel, AWS, Keras, Azure, FastAPI, R",Senior,Full-time,"Villarrealhaven, KI",2025-02-11,Large,"MLflow, LangChain",69159.0,139847.0
58,59,Scott-Gardner,Tech,AI Researcher,"FastAPI, C++, Excel, Flask, Pandas",Senior,Remote,"North Laurie, BI",2025-06-21,Large,"FastAPI, PyTorch, LangChain",78305.0,162525.0
59,60,Jackson Group,Finance,AI Product Manager,"TensorFlow, C++, SQL, Hugging Face, Flask, Power BI",Mid,Internship,"East Juliashire, TR",2023-09-25,Startup,BigQuery,64238.0,115477.0
60,61,"Sullivan, Silva and Sawyer",Finance,Data Analyst,"Power BI, Excel, GCP",Senior,Remote,"North Jonathan, NL",2024-06-27,Mid,MLflow,53583.0,148644.0
61,62,"Page, Bonilla and Cohen",Retail,AI Product Manager,"Python, FastAPI, Scikit-learn, Hugging Face, Power BI, Flask",Entry,Remote,"Port Jacobchester, SB",2024-05-08,Startup,LangChain,50457.0,126635.0
62,63,Young-Wright,Retail,Computer Vision Engineer,"Hugging Face, Keras, Scikit-learn",Mid,Internship,"Kaylaburgh, NO",2024-10-26,Large,"TensorFlow, LangChain",97883.0,172449.0
63,64,Patel PLC,E-commerce,AI Product Manager,"Reinforcement Learning, LangChain, Python",Entry,Remote,"South Jamie, KM",2025-02-17,Startup,FastAPI,94965.0,141198.0
64,65,"Lopez, Nelson and Meyer",E-commerce,AI Researcher,"Azure, Pandas, Power BI, MLflow",Entry,Internship,"Lake Michelleport, RS",2025-01-06,Startup,"PyTorch, TensorFlow, FastAPI",81202.0,154117.0
65,66,"Harris, Porter and Walter",Retail,AI Researcher,"C++, Reinforcement Learning, NumPy, Azure, MLflow, Flask",Mid,Contract,"Port Kristenmouth, SA",2023-12-19,Large,"FastAPI, KDB+",106117.0,199125.0
66,67,Dominguez and Sons,Automotive,AI Product Manager,"LangChain, FastAPI, SQL",Senior,Internship,"Rodriguezstad, ET",2024-04-08,Large,"BigQuery, KDB+",137229.0,193525.0
67,68,Griffith-Garner,Retail,Data Analyst,"NumPy, Python, Azure, GCP, C++, Scikit-learn",Senior,Remote,"Meredithview, LS",2024-12-21,Startup,PyTorch,40995.0,54162.0
68,69,Smith LLC,Healthcare,Data Analyst,"Power BI, AWS, NumPy, CUDA, MLflow",Mid,Full-time,"South Tylerhaven, LC",2023-12-09,Mid,"LangChain, PyTorch, MLflow",129140.0,193460.0
69,70,Smith-Jones,Education,Data Analyst,"LangChain, PyTorch, Flask",Mid,Full-time,"South Karenville, BB",2025-06-15,Mid,BigQuery,86690.0,120765.0
70,71,"Maddox, Steele and Jones",Retail,ML Engineer,"Flask, Scikit-learn, NumPy",Entry,Internship,"Billyfort, YE",2025-03-12,Mid,"FastAPI, PyTorch",85816.0,149983.0
71,72,Williams PLC,Healthcare,Quant Researcher,"SQL, FastAPI, LangChain, Scikit-learn, NumPy, TensorFlow",Senior,Remote,"New Jefferyfort, TG",2024-02-12,Startup,"FastAPI, LangChain",60805.0,99890.0
72,73,"Hurst, Manning and Wood",Education,Data Analyst,"Azure, Excel, TensorFlow",Senior,Remote,"Petersenborough, VN",2025-05-02,Large,"PyTorch, BigQuery, Scikit-learn",118377.0,137651.0
73,74,"Howard, Carr and Joseph",Automotive,NLP Engineer,"C++, MLflow, CUDA, Hugging Face",Mid,Internship,"Leeberg, ME",2023-11-28,Large,"MLflow, PyTorch",81382.0,175328.0
74,75,Lewis-Smith,Automotive,ML Engineer,"MLflow, NumPy, R, C++, PyTorch",Senior,Remote,"North Christopherfurt, LR",2025-09-09,Startup,KDB+,132555.0,209536.0
75,76,Luna and Sons,Automotive,AI Researcher,"R, Python, Flask",Mid,Contract,"Weberland, TL",2023-12-06,Mid,"FastAPI, TensorFlow, PyTorch",54185.0,86768.0
76,77,King-Sheppard,E-commerce,AI Researcher,"FastAPI, Hugging Face, PyTorch",Mid,Internship,"Zamorafurt, UA",2025-07-03,Startup,PyTorch,101020.0,182230.0
77,78,Meyer-Shaffer,E-commerce,NLP Engineer,"Pandas, Flask, FastAPI, Reinforcement Learning",Mid,Internship,"Sharpborough, DM",2024-02-21,Startup,"LangChain, PyTorch, Scikit-learn",49529.0,68621.0
78,79,"Ellis, Page and Smith",Tech,Quant Researcher,"Reinforcement Learning, Flask, NumPy, LangChain",Entry,Contract,"North Carriestad, IR",2024-10-12,Startup,LangChain,88756.0,103530.0
79,80,Martinez-Fitzgerald,Healthcare,ML Engineer,"AWS, TensorFlow, Flask, Power BI",Senior,Internship,"South Charles, CI",2025-01-20,Large,KDB+,108574.0,194850.0
80,81,Johnson Inc,Education,AI Researcher,"Reinforcement Learning, Python, Pandas, TensorFlow",Mid,Internship,"Lake Kristen, AZ",2025-08-03,Large,"Scikit-learn, MLflow, PyTorch",111184.0,166588.0
81,82,Camacho PLC,Finance,Data Analyst,"R, C++, GCP, Hugging Face, LangChain, TensorFlow",Entry,Full-time,"Anthonyland, GQ",2024-01-14,Large,"PyTorch, Scikit-learn, BigQuery",120456.0,210505.0
82,83,Sweeney-Griffith,Finance,AI Product Manager,"Flask, Azure, C++, Excel",Entry,Internship,"Michaelchester, MK",2025-09-17,Mid,MLflow,86740.0,124608.0
83,84,"Stafford, Owens and Thompson",Education,Data Analyst,"MLflow, Hugging Face, Python, Scikit-learn",Entry,Full-time,"Lake Debra, AM",2025-04-25,Mid,"MLflow, LangChain, KDB+",78116.0,122008.0
84,85,"Gonzalez, Watts and Thompson",E-commerce,Computer Vision Engineer,"FastAPI, SQL, Flask, CUDA, C++, Scikit-learn",Mid,Contract,"New Danielburgh, RU",2024-11-01,Startup,"FastAPI, LangChain",42962.0,75277.0
85,86,Graham Group,Tech,Data Analyst,"LangChain, FastAPI, PyTorch, CUDA, AWS",Senior,Full-time,"Lake Melissaville, PL",2024-03-21,Large,"BigQuery, Scikit-learn, MLflow",51640.0,64834.0
86,87,Ward-Allen,Education,Quant Researcher,"C++, Power BI, NumPy",Mid,Contract,"Jeffreyburgh, SC",2024-09-10,Large,"LangChain, BigQuery",98118.0,167073.0
87,88,"Garrett, Hernandez and Anderson",Finance,Quant Researcher,"FastAPI, Scikit-learn, LangChain",Mid,Internship,"Whiteville, SE",2023-11-16,Mid,"LangChain, MLflow",140819.0,222611.0
88,89,Long Inc,Finance,AI Researcher,"Flask, Python, Power BI, CUDA",Entry,Internship,"Jacksonmouth, UZ",2025-03-23,Startup,"FastAPI, LangChain, BigQuery",82496.0,127505.0
89,90,Cummings-Nash,Finance,AI Researcher,"Python, SQL, C++, FastAPI",Entry,Internship,"Adamton, HR",2023-10-17,Startup,"KDB+, LangChain",124249.0,174855.0
90,91,"Sawyer, Donovan and Vargas",Automotive,NLP Engineer,"TensorFlow, Power BI, FastAPI, LangChain, Scikit-learn, Python",Mid,Contract,"Lake Erica, NL",2023-10-19,Mid,"BigQuery, KDB+, LangChain",81426.0,145890.0
91,92,"Stewart, Gutierrez and Simpson",Tech,Data Scientist,"GCP, LangChain, Keras",Entry,Internship,"South Paige, VC",2025-03-21,Large,"LangChain, FastAPI, Scikit-learn",51104.0,130405.0
92,93,Jones-Marshall,Finance,NLP Engineer,"Excel, TensorFlow, Pandas, CUDA",Entry,Remote,"Scottberg, MG",2025-08-26,Startup,"MLflow, FastAPI, TensorFlow",143177.0,155682.0
93,94,Murphy-Rosales,Education,NLP Engineer,"FastAPI, PyTorch, CUDA, Flask, Scikit-learn",Mid,Remote,"West Jesse, NG",2025-07-13,Large,"LangChain, BigQuery",139393.0,162837.0
94,95,Solis-Thornton,Healthcare,ML Engineer,"Hugging Face, Python, FastAPI, CUDA, GCP",Entry,Full-time,"East Autumn, AM",2024-10-10,Mid,"LangChain, BigQuery",111746.0,137892.0
95,96,Michael Ltd,Healthcare,Computer Vision Engineer,"PyTorch, MLflow, Scikit-learn, Excel, Pandas",Senior,Full-time,"Maldonadoville, PL",2025-08-09,Startup,LangChain,107083.0,124486.0
96,97,Alexander and Sons,Education,AI Researcher,"Pandas, R, FastAPI, AWS, MLflow, Python",Senior,Full-time,"Richardside, PY",2024-11-15,Startup,"LangChain, FastAPI",126865.0,190621.0
97,98,"Travis, Fletcher and Rodriguez",Finance,Computer Vision Engineer,"Python, SQL, Power BI, Scikit-learn, FastAPI",Mid,Contract,"Port Julieburgh, KW",2023-12-18,Large,"FastAPI, KDB+, LangChain",127896.0,227744.0
98,99,Lozano-Hill,Healthcare,Data Analyst,"Keras, NumPy, Excel, C++, Pandas",Entry,Contract,"South Stephanieville, BS",2024-05-22,Large,"TensorFlow, BigQuery",133789.0,170501.0
99,100,"Farmer, Leach and Norris",Retail,Computer Vision Engineer,"Keras, Power BI, MLflow, AWS",Mid,Contract,"Williamsbury, DO",2025-09-03,Mid,TensorFlow,126422.0,179630.0
100,101,Price-Nichols,Healthcare,ML Engineer,"Pandas, MLflow, Hugging Face, SQL",Entry,Contract,"South Fredview, PL",2025-07-22,Startup,TensorFlow,53156.0,131761.0
101,102,"Gonzalez, Jackson and Williams",Retail,Data Scientist,"Hugging Face, LangChain, Azure, Scikit-learn, Flask",Senior,Internship,"Heatherport, DO",2025-08-09,Large,"KDB+, BigQuery, MLflow",76985.0,169306.0
102,103,"Dodson, Palmer and Huber",Education,Quant Researcher,"Python, Pandas, NumPy, MLflow",Entry,Full-time,"Alejandromouth, CU",2025-02-26,Mid,KDB+,129308.0,160166.0
103,104,Morris-Sanchez,Finance,Data Scientist,"Power BI, GCP, Scikit-learn",Senior,Internship,"New James, CR",2025-03-21,Mid,TensorFlow,112263.0,190554.0
104,105,Cobb-Lindsey,E-commerce,NLP Engineer,"FastAPI, TensorFlow, NumPy, AWS, Azure",Entry,Contract,"West Madison, QA",2024-11-19,Mid,"LangChain, Scikit-learn",147332.0,158887.0
105,106,Ramirez-Goodwin,Automotive,Computer Vision Engineer,"CUDA, Pandas, GCP, LangChain, Azure, TensorFlow",Mid,Full-time,"Tanyachester, TW",2025-04-04,Mid,"KDB+, MLflow",54559.0,121736.0
106,107,Duran PLC,Healthcare,Computer Vision Engineer,"Keras, GCP, SQL",Senior,Remote,"New David, EG",2023-10-03,Mid,"BigQuery, FastAPI",91427.0,154726.0
107,108,Kaiser Group,Tech,AI Product Manager,"Power BI, FastAPI, Reinforcement Learning, SQL, Keras, AWS",Senior,Contract,"South Patricktown, NO",2025-03-30,Large,"TensorFlow, Scikit-learn, MLflow",120983.0,167455.0
108,109,Garcia PLC,Education,ML Engineer,"AWS, Hugging Face, Flask, CUDA",Mid,Contract,"Sanfordmouth, GW",2024-02-06,Large,BigQuery,108083.0,168433.0
109,110,Steele-Norman,Healthcare,Quant Researcher,"Azure, MLflow, Excel, CUDA",Mid,Contract,"Elainefurt, BS",2024-06-20,Mid,Scikit-learn,43248.0,86711.0
110,111,Garcia Ltd,Education,AI Researcher,"SQL, Flask, NumPy, Power BI, Excel",Entry,Remote,"Brownstad, LU",2024-09-08,Large,KDB+,73459.0,87186.0
111,112,Hill LLC,Healthcare,AI Researcher,"GCP, Azure, Reinforcement Learning, TensorFlow, CUDA, FastAPI",Mid,Contract,"Lake Christopher, QA",2024-07-24,Large,Scikit-learn,94345.0,157493.0
112,113,"Morales, Thomas and Miller",Healthcare,NLP Engineer,"Python, FastAPI, R",Mid,Full-time,"Millermouth, GY",2024-08-28,Mid,"MLflow, Scikit-learn, FastAPI",113621.0,179602.0
113,114,Kelly-Novak,Finance,Data Scientist,"Scikit-learn, Pandas, GCP, Python, R",Entry,Full-time,"Nicoleside, AD",2025-05-20,Mid,KDB+,43828.0,137950.0
114,115,Martin-Hernandez,Tech,Quant Researcher,"AWS, Python, GCP, R, C++, FastAPI",Senior,Remote,"North Patrick, KE",2025-06-17,Startup,"Scikit-learn, TensorFlow",118046.0,186961.0
115,116,Price-Dean,Education,NLP Engineer,"NumPy, LangChain, Excel, Keras",Entry,Full-time,"Dennistown, IQ",2024-03-17,Large,MLflow,143236.0,210339.0
116,117,Ruiz Inc,Automotive,Data Analyst,"NumPy, Scikit-learn, Keras, TensorFlow, Hugging Face, Excel",Entry,Contract,"Rodriguezfurt, LI",2025-05-07,Large,"LangChain, KDB+",70478.0,154317.0
117,118,"Hudson, Burton and Campbell",E-commerce,Data Analyst,"TensorFlow, R, Hugging Face",Mid,Internship,"Sullivanburgh, BJ",2024-04-05,Startup,Scikit-learn,69403.0,123368.0
118,119,Roberson Inc,Automotive,NLP Engineer,"Python, Power BI, Pandas, MLflow, Keras, Scikit-learn",Mid,Contract,"New Justin, ZW",2024-01-01,Mid,"MLflow, PyTorch, FastAPI",143437.0,196807.0
119,120,Gutierrez PLC,Retail,NLP Engineer,"PyTorch, GCP, NumPy, Python, Pandas, Keras",Entry,Contract,"West Fredside, PW",2025-08-10,Mid,"TensorFlow, KDB+, BigQuery",59290.0,84926.0
120,121,"King, Chambers and Brown",Retail,AI Researcher,"SQL, Excel, Python",Mid,Remote,"Eriktown, GT",2024-10-08,Mid,"Scikit-learn, MLflow",124112.0,141184.0
121,122,Shannon LLC,Finance,AI Researcher,"GCP, Keras, Azure, SQL, Scikit-learn, NumPy",Entry,Contract,"Port Robert, TR",2024-07-10,Large,BigQuery,93411.0,137526.0
122,123,Thompson-Norris,Finance,Computer Vision Engineer,"Azure, TensorFlow, PyTorch, AWS, Flask",Senior,Contract,"Davidfort, CU",2024-10-08,Startup,"KDB+, MLflow",98592.0,132404.0
123,124,Davis and Sons,E-commerce,Quant Researcher,"Hugging Face, Power BI, SQL, FastAPI, C++, Reinforcement Learning",Mid,Internship,"Carrollland, SE",2023-10-31,Large,KDB+,109693.0,136678.0
124,125,"Reed, Garcia and French",E-commerce,NLP Engineer,"Keras, CUDA, TensorFlow",Mid,Full-time,"West Richardborough, BE",2025-08-03,Startup,"BigQuery, TensorFlow",128381.0,173902.0
125,126,Anderson-Cruz,Tech,Computer Vision Engineer,"SQL, AWS, Power BI",Mid,Remote,"Jasonshire, TH",2025-04-07,Large,PyTorch,114132.0,129565.0
126,127,King PLC,Finance,Quant Researcher,"NumPy, CUDA, Scikit-learn, Keras, Excel, Pandas",Mid,Contract,"East Sheriton, SV",2024-03-10,Large,Scikit-learn,117985.0,188287.0
127,128,Baker-Gomez,Finance,AI Product Manager,"NumPy, PyTorch, FastAPI, CUDA, Azure",Entry,Remote,"Sarahview, SE",2024-11-22,Large,"LangChain, KDB+",98649.0,172840.0
128,129,"Patterson, Bruce and Herring",Retail,NLP Engineer,"Keras, Pandas, MLflow, Scikit-learn",Mid,Remote,"Davechester, LR",2024-12-31,Mid,"PyTorch, KDB+, LangChain",132259.0,223631.0
129,130,Jackson Inc,Education,Data Analyst,"MLflow, NumPy, Scikit-learn, Azure, Keras",Senior,Internship,"Allenton, UG",2025-03-11,Startup,Scikit-learn,92116.0,122876.0
130,131,"Thompson, Lewis and Gonzalez",E-commerce,NLP Engineer,"AWS, Hugging Face, Python, Reinforcement Learning, Scikit-learn, LangChain",Entry,Internship,"Westland, KM",2024-09-23,Large,BigQuery,111421.0,135658.0
131,132,Mclean Inc,Healthcare,NLP Engineer,"Keras, Pandas, TensorFlow, CUDA",Mid,Remote,"Shermanshire, MM",2025-02-09,Large,"KDB+, FastAPI",64185.0,77841.0
132,133,Moore Inc,Automotive,AI Researcher,"Power BI, CUDA, Scikit-learn",Senior,Contract,"Jamesborough, GB",2025-04-23,Mid,"BigQuery, LangChain, FastAPI",114287.0,213324.0
133,134,Flores-Dalton,Automotive,AI Researcher,"CUDA, Reinforcement Learning, TensorFlow, Power BI, FastAPI, LangChain",Senior,Internship,"East Edward, MV",2025-09-01,Mid,TensorFlow,67967.0,136114.0
